"ZUPANIJA_MBR";"GROP_MBR";"GROP_NAZIV";"GROP_VRSTA";"NASELJE_MBR";"NASELJE_NAZIV";"ULICA_MBR";"ULICA_NAZIV"
"7";"639";"ČAZMA";"1";"124";"ANDIGOLA";"1240002";"KOPČIĆ BRDO"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320001";"ANDRAŠEVEČKA ULICA"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320002";"BABIĆEVA ULICA"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320003";"BARLOVIĆEVA ULICA"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320004";"BREŽNA ULICA"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320005";"DOLINSKA ULICA"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320006";"FRINČIĆEVA ULICA"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320007";"GAJEVA ULICA"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320008";"GLANJČIĆEVO"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320009";"GORIČKA ULICA"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320010";"GRABUŠIĆEVA ULICA"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320011";"HRČIĆEVA ULICA"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320012";"KAMENJAČKA ULICA"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320013";"KIŠUREVA ULICA"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320014";"KNEZIĆEVA ULICA"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320015";"KOŽUHOVA ULICA"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320016";"KRALJIĆEVA ULICA"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320017";"KUCLJEVA ULICA"
"2";"3115";"OROSLAVJE";"1";"132";"ANDRAŠEVEC";"1320018";"KURELJEVA ULICA"
